,Issuer Company,Open Date,Close Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange,Tickers
0,Antony Waste Handling Cell Limited IPO,"Dec 21, 2020","Dec 23, 2020",315,300.0,47,"BSE, NSE",AWHCL.NS
1,Mrs. Bectors Food Specialities Limited IPO,"Dec 15, 2020","Dec 17, 2020",288,540.54,50,"BSE, NSE",BECTORFOOD.NS
2,Burger King India Limited IPO,"Dec 02, 2020","Dec 04, 2020",60,810.0,250,"BSE, NSE",investors-scramble-bite-burger-king-131246349.html
3,Gland Pharma Limited IPO,"Nov 09, 2020","Nov 11, 2020",1500,6479.55,10,"BSE, NSE",GLAND.NS
4,Equitas Small Finance Bank Ltd IPO,"Oct 20, 2020","Oct 22, 2020",33,517.6,450,"BSE, NSE",EQUITASBNK.NS
5,Likhitha Infrastructure Ltd IPO,"Sep 29, 2020","Oct 07, 2020",120,61.2,125,"BSE, NSE",LIKHITHA.NS
6,Mazagon Dock Shipbuilders Limited IPO,"Sep 29, 2020","Oct 01, 2020",145,443.69,103,"BSE, NSE",MAZDOCK.NS
7,UTI Asset Management Company Ltd IPO,"Sep 29, 2020","Oct 01, 2020",554,2159.88,27,"BSE, NSE",UTIAMC.NS
8,Angel One Ltd IPO,"Sep 22, 2020","Sep 24, 2020",306,600.0,49,"BSE, NSE",ANGELONE.NS
9,Chemcon Speciality Chemicals Limited IPO,"Sep 21, 2020","Sep 23, 2020",340,318.0,44,"BSE, NSE",CHEMCON.NS
10,Computer Age Management Services Ltd IPO,"Sep 21, 2020","Sep 23, 2020",1230,2244.33,12,BSE,CAMS.NS
11,Route Mobile Ltd IPO,"Sep 09, 2020","Sep 11, 2020",350,600.0,40,"BSE, NSE",ROUTE.NS
12,Happiest Minds Technologies Ltd IPO,"Sep 07, 2020","Sep 09, 2020",166,702.02,90,"BSE, NSE",HAPPSTMNDS.NS
13,Mindspace Business Parks REIT,"Jul 27, 2020","Jul 29, 2020",275,4500.0,200,"BSE, NSE",MINDSPACE.BO
14,Yes Bank Ltd FPO,"Jul 15, 2020","Jul 17, 2020",12,15000.0,"1,000","BSE, NSE",yesbank.ns
15,Rossari Biotech Ltd IPO,"Jul 13, 2020","Jul 15, 2020",425,496.49,35,"BSE, NSE",ROSSARI.NS
16,Antony Waste Handling Cell Ltd IPO,"Mar 04, 2020","Mar 16, 2020",294.00 to 300.00,206.0,50,"BSE, NSE",AWHCL.NS
17,SBI Cards and Payment Services Ltd IPO,"Mar 02, 2020","Mar 05, 2020",755,10354.77,19,"BSE, NSE",SBICARD.NS
18,ITI Ltd FPO,"Jan 24, 2020","Feb 05, 2020",71.00 to 77.00,1399.86,150,"BSE, NSE",ITI.NS
