,Issuer Company,Open Date,Close Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange
0,CMS Info Systems Limited IPO,"Dec 21, 2021","Dec 23, 2021",216,1100,69,"BSE, NSE"
1,Supriya Lifescience Limited IPO,"Dec 16, 2021","Dec 20, 2021",274,700,54,"BSE, NSE"
2,HP Adhesives Limited IPO,"Dec 15, 2021","Dec 17, 2021",274,125.96,50,"BSE, NSE"
3,Data Patterns (India) Limited IPO,"Dec 14, 2021","Dec 16, 2021",585,588.22,25,"BSE, NSE"
4,Medplus Health Services Limited IPO,"Dec 13, 2021","Dec 15, 2021",796,1398.3,18,"BSE, NSE"
5,Metro Brands Limited IPO,"Dec 10, 2021","Dec 14, 2021",500,1367.51,30,"BSE, NSE"
6,C.E. Info systems limited IPO,"Dec 09, 2021","Dec 13, 2021",1033,1039.61,14,"BSE, NSE"
7,Shriram Properties Limited IPO,"Dec 08, 2021","Dec 10, 2021",118,600,125,"BSE, NSE"
8,Rategain Travel Technologies Limited IPO,"Dec 07, 2021","Dec 09, 2021",425,1335.74,35,"BSE, NSE"
9,Anand Rathi Wealth Limited IPO,"Dec 02, 2021","Dec 06, 2021",550,660,27,"BSE, NSE"
10,Tega Industries Limited IPO,"Dec 01, 2021","Dec 03, 2021",453,619.23,33,"BSE, NSE"
11,Star Health and Allied Insurance Company Ltd IPO,"Nov 30, 2021","Dec 02, 2021",900,7249.18,16,"BSE, NSE"
12,Go Fashion (India) Limited IPO,"Nov 17, 2021","Nov 22, 2021",690,1013.61,21,"BSE, NSE"
13,Tarsons Products Limited IPO,"Nov 15, 2021","Nov 17, 2021",662,1023.47,22,"BSE, NSE"
14,Latent View Analytics Limited IPO,"Nov 10, 2021","Nov 12, 2021",197,600,76,"BSE, NSE"
15,Sapphire Foods India Limited IPO,"Nov 09, 2021","Nov 11, 2021",1180,2073.25,12,"BSE, NSE"
16,One 97 Communications Limited IPO,"Nov 08, 2021","Nov 10, 2021",2150,18300,6,"BSE, NSE"
17,Sigachi Industries Limited IPO,"Nov 01, 2021","Nov 03, 2021",163,125.43,90,"BSE, NSE"
18,PB Fintech Limited IPO,"Nov 01, 2021","Nov 03, 2021",980,5625,15,"BSE, NSE"
19,S.J.S. Enterprises Limited IPO,"Nov 01, 2021","Nov 03, 2021",542,800,27,"BSE, NSE"
20,Fino Payments Bank Limited IPO,"Oct 29, 2021","Nov 02, 2021",577,1200.29,25,"BSE, NSE"
21,FSN E-Commerce Ventures Limited IPO,"Oct 28, 2021","Nov 01, 2021",1125,5351.92,12,"BSE, NSE"
22,Aditya Birla Sun Life AMC Ltd IPO,"Sep 29, 2021","Oct 01, 2021",712,2768.26,20,"BSE, NSE"
23,Paras Defence And Space Technologies Limited IPO,"Sep 21, 2021","Sep 23, 2021",175,170.78,85,"BSE, NSE"
24,Sansera Engineering Limited IPO,"Sep 14, 2021","Sep 16, 2021",744,1282.98,20,"BSE, NSE"
25,Vijaya Diagnostic Centre Limited IPO,"Sep 01, 2021","Sep 03, 2021",531,1895.04,28,"BSE, NSE"
26,Ami Organics Limited IPO,"Sep 01, 2021","Sep 03, 2021",610,569.64,24,"BSE, NSE"
