Issuer Company,Open Date,Close Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange,Tickers
Sah Polymers Limited IPO,"Dec 30, 2022","Jan 04, 2023",65,66.3,230,"BSE, NSE",SAH.NS
Radiant Cash Management Services Limited IPO,"Dec 23, 2022","Dec 27, 2022",94,256.64,150,"BSE, NSE",history
Elin Electronics Limited IPO,"Dec 20, 2022","Dec 22, 2022",247,475,60,"BSE, NSE",ELIN.NS
KFin Technologies Limited IPO,"Dec 19, 2022","Dec 21, 2022",366,1500,40,"BSE, NSE",KFINTECH.NS
Abans Holdings Limited IPO,"Dec 12, 2022","Dec 15, 2022",270,345.6,55,"BSE, NSE",AHL.NS
Landmark Cars Limited IPO,"Dec 13, 2022","Dec 15, 2022",506,552,29,"BSE, NSE",LANDMARK.NS
Sula Vineyards Limited IPO,"Dec 12, 2022","Dec 14, 2022",357,960.35,42,"BSE, NSE",SULA.NS
Uniparts India Limited IPO,"Nov 30, 2022","Dec 02, 2022",577,835.61,25,"BSE, NSE",UNIPARTS.NS
Dharmaj Crop Guard Limited IPO,"Nov 28, 2022","Nov 30, 2022",237,251.15,60,"BSE, NSE",history
Keystone Realtors Limited IPO,"Nov 14, 2022","Nov 16, 2022",541,635,27,"BSE, NSE",history
Inox Green Energy Services Limited IPO,"Nov 11, 2022","Nov 15, 2022",65,740,230,"BSE, NSE",INOXGREEN.NS
Kaynes Technology India Ltd IPO,"Nov 10, 2022","Nov 14, 2022",587,857.82,25,"BSE, NSE",KAYNES.NS
Archean Chemical Industries Limited IPO,"Nov 09, 2022","Nov 11, 2022",407,1462.31,36,"BSE, NSE",ACI.NS
Five Star Business Finance Ltd IPO,"Nov 09, 2022","Nov 11, 2022",474,1593.45,31,"BSE, NSE",FIVESTAR.NS
Bikaji Foods International Limited IPO,"Nov 03, 2022","Nov 07, 2022",300,881.22,50,"BSE, NSE",BIKAJI.NS
Global Health Limited IPO,"Nov 03, 2022","Nov 07, 2022",336,2205.57,44,"BSE, NSE",MEDANTA.NS
Fusion Micro Finance Limited IPO,"Nov 02, 2022","Nov 04, 2022",368,1103.99,40,"BSE, NSE",history
DCX Systems Limited IPO,"Oct 31, 2022","Nov 02, 2022",207,500,72,"BSE, NSE",history
Tracxn Technologies Limited IPO,"Oct 10, 2022","Oct 12, 2022",80,309.38,185,"BSE, NSE",TRACXN.NS
Electronics Mart India Limited IPO,"Oct 04, 2022","Oct 07, 2022",59,500,254,"BSE, NSE",EMIL.NS
Harsha Engineers International Ltd IPO,"Sep 14, 2022","Sep 16, 2022",330,755,45,"BSE, NSE",history
Tamilnad Mercantile Bank Limited IPO,"Sep 05, 2022","Sep 07, 2022",510,807.84,28,"BSE, NSE",history
Dreamfolks Services Limited IPO,"Aug 24, 2022","Aug 26, 2022",326,562.1,46,"BSE, NSE",DREAMFOLKS.NS
Syrma SGS Technology Ltd IPO,"Aug 12, 2022","Aug 18, 2022",220,840,68,"BSE, NSE",SYRMA.NS
Aether Industries Limited IPO,"May 24, 2022","May 26, 2022",642,808.04,23,"BSE, NSE",AETHER.NS
eMudhra Limited IPO,"May 20, 2022","May 24, 2022",256,412.79,58,"BSE, NSE",history
Ethos Limited IPO,"May 18, 2022","May 20, 2022",878,472.29,17,"BSE, NSE",ETHOSLTD.NS
Paradeep Phosphates Limited IPO,"May 17, 2022","May 19, 2022",42,1501.73,350,"BSE, NSE",PARADEEP.NS
Venus Pipes & Tubes Limited IPO,"May 11, 2022","May 13, 2022",326,165.42,46,"BSE, NSE",
Delhivery Limited IPO,"May 11, 2022","May 13, 2022",487,5235,30,"BSE, NSE",DELHIVERY.NS
Prudent Corporate Advisory Services Limited IPO,"May 10, 2022","May 12, 2022",630,538.61,23,"BSE, NSE",PRUDENT.NS
Life Insurance Corporation of India (LIC) IPO,"May 04, 2022","May 09, 2022",949,21008.48,15,"BSE, NSE",
Rainbow Children's Medicare Limited IPO,"Apr 27, 2022","Apr 29, 2022",542,1580.85,27,"BSE, NSE",RAINBOW.NS
Campus Activewear Limited IPO,"Apr 26, 2022","Apr 28, 2022",292,1400.14,51,"BSE, NSE",CAMPUS.NS
Hariom Pipe Industries Limited IPO,"Mar 30, 2022","Apr 05, 2022",153,130.05,98,"BSE, NSE",HARIOMPIPE.NS
Veranda Learning Solutions Limited IPO,"Mar 29, 2022","Mar 31, 2022",137,200,100,"BSE, NSE",VERANDA.NS
Uma Exports Limited IPO,"Mar 28, 2022","Mar 30, 2022",68,60,220,"BSE, NSE",UMAEXPORTS.NS
Ruchi Soya Industries Ltd FPO,"Mar 24, 2022","Mar 28, 2022",650,4300,21,"BSE, NSE",history
Vedant Fashions Limited IPO,"Feb 04, 2022","Feb 08, 2022",866,3149.19,17,"BSE, NSE",history
Adani Wilmar Limited IPO,"Jan 27, 2022","Jan 31, 2022",230,3600,65,"BSE, NSE",history
AGS Transact Technologies Ltd IPO,"Jan 19, 2022","Jan 21, 2022",175,680,85,"BSE, NSE",AGSTRA.NS
