Issuer Company,Open Date,Close Date,Issue Price (Rs),Issue Size (Rs Cr.),Lot Size,Exchange
Innova Captab Limited IPO,"Dec 21, 2023","Dec 26, 2023",426.00 to 448.00,570,33,"BSE, NSE"
Azad Engineering Limited IPO,"Dec 20, 2023","Dec 22, 2023",499.00 to 524.00,740,28,"BSE, NSE"
Credo Brands Marketing Limited IPO,"Dec 19, 2023","Dec 21, 2023",266.00 to 280.00,549.78,53,"BSE, NSE"
RBZ Jewellers Limited IPO,"Dec 19, 2023","Dec 21, 2023",95.00 to 100.00,100,150,"BSE, NSE"
Happy Forgings Limited IPO,"Dec 19, 2023","Dec 21, 2023",808.00 to 850.00,1008.59,17,"BSE, NSE"
Suraj Estate Developers Limited IPO,"Dec 18, 2023","Dec 20, 2023",340.00 to 360.00,400,41,"BSE, NSE"
Motisons Jewellers Limited IPO,"Dec 18, 2023","Dec 20, 2023",52.00 to 55.00,151.09,250,"BSE, NSE"
Muthoot Microfin Limited IPO,"Dec 18, 2023","Dec 20, 2023",277.00 to 291.00,960,51,"BSE, NSE"
Inox India Limited IPO,"Dec 14, 2023","Dec 18, 2023",660,1459.32,22,"BSE, NSE"
DOMS Industries Limited IPO,"Dec 13, 2023","Dec 15, 2023",790,1200,18,"BSE, NSE"
India Shelter Finance Corporation Limited IPO,"Dec 13, 2023","Dec 15, 2023",493,1200,30,"BSE, NSE"
Flair Writing Industries Limited IPO,"Nov 22, 2023","Nov 24, 2023",304,593,49,"BSE, NSE"
Fedbank Financial Services Limited IPO,"Nov 22, 2023","Nov 24, 2023",140,1092.26,107,"BSE, NSE"
Gandhar Oil Refinery (India) Limited IPO,"Nov 22, 2023","Nov 24, 2023",169,500.69,88,"BSE, NSE"
Tata Technologies Limited IPO,"Nov 22, 2023","Nov 24, 2023",500,3042.51,30,"BSE, NSE"
Indian Renewable Energy Development Agency Ltd IPO,"Nov 21, 2023","Nov 23, 2023",32,2150.21,460,"BSE, NSE"
ASK Automotive Limited IPO,"Nov 07, 2023","Nov 09, 2023",282,834,53,"BSE, NSE"
Protean eGov Technologies Limited IPO,"Nov 06, 2023","Nov 08, 2023",792,490.33,18,BSE
ESAF Small Finance Bank Limited IPO,"Nov 03, 2023","Nov 07, 2023",60,463,250,"BSE, NSE"
Honasa Consumer Limited IPO,"Oct 31, 2023","Nov 02, 2023",324,1701.44,46,"BSE, NSE"
Cello World Limited IPO,"Oct 30, 2023","Nov 01, 2023",648,1900,23,"BSE, NSE"
Blue Jet Healthcare Limited IPO,"Oct 25, 2023","Oct 27, 2023",346,840.27,43,"BSE, NSE"
IRM Energy Limited IPO,"Oct 18, 2023","Oct 20, 2023",505,545.4,29,"BSE, NSE"
Plaza Wires Limited IPO,"Sep 29, 2023","Oct 05, 2023",54,71.28,277,"BSE, NSE"
Valiant Laboratories Limited IPO,"Sep 27, 2023","Oct 03, 2023",140,152.46,105,"BSE, NSE"
Updater Services Limited IPO,"Sep 25, 2023","Sep 27, 2023",300,640,50,"BSE, NSE"
JSW Infrastructure Limited IPO,"Sep 25, 2023","Sep 27, 2023",119,2800,126,"BSE, NSE"
Manoj Vaibhav Gems 'N' Jewellers Limited IPO,"Sep 22, 2023","Sep 26, 2023",215,270.2,69,"BSE, NSE"
Sai Silks (Kalamandir) Limited IPO,"Sep 20, 2023","Sep 22, 2023",222,1201,67,"BSE, NSE"
Signatureglobal (India) Limited IPO,"Sep 20, 2023","Sep 22, 2023",385,730,38,"BSE, NSE"
Yatra Online Limited IPO,"Sep 15, 2023","Sep 20, 2023",142,775,105,"BSE, NSE"
Zaggle Prepaid Ocean Services Limited IPO,"Sep 14, 2023","Sep 18, 2023",164,563.38,90,"BSE, NSE"
SAMHI Hotels Limited IPO,"Sep 14, 2023","Sep 18, 2023",126,1370.1,119,"BSE, NSE"
R R Kabel Limited IPO,"Sep 13, 2023","Sep 15, 2023",1035,1964.01,14,"BSE, NSE"
EMS Limited IPO,"Sep 08, 2023","Sep 12, 2023",211,321.24,70,"BSE, NSE"
Jupiter Life Line Hospitals Limited IPO,"Sep 06, 2023","Sep 08, 2023",735,869.08,20,"BSE, NSE"
Ratnaveer Precision Engineering Limited IPO,"Sep 04, 2023","Sep 06, 2023",98,165.03,150,"BSE, NSE"
Rishabh Instruments Limited IPO,"Aug 30, 2023","Sep 01, 2023",441,490.78,34,"BSE, NSE"
Vishnu Prakash R Punglia Limited IPO,"Aug 24, 2023","Aug 28, 2023",99,308.88,150,"BSE, NSE"
Aeroflex Industries Limited IPO,"Aug 22, 2023","Aug 24, 2023",108,351,130,"BSE, NSE"
Pyramid Technoplast Limited IPO,"Aug 18, 2023","Aug 22, 2023",166,153.05,90,"BSE, NSE"
TVS Supply Chain Solutions Limited IPO,"Aug 10, 2023","Aug 14, 2023",197,880,76,"BSE, NSE"
Concord Biotech Limited IPO,"Aug 04, 2023","Aug 08, 2023",741,1551,20,"BSE, NSE"
SBFC Finance Limited IPO,"Aug 03, 2023","Aug 07, 2023",57,1025,260,"BSE, NSE"
Yatharth Hospital and Trauma Care Services Limited IPO,"Jul 26, 2023","Jul 28, 2023",300,686.55,50,"BSE, NSE"
Netweb Technologies India Limited IPO,"Jul 17, 2023","Jul 19, 2023",500,631,30,"BSE, NSE"
Utkarsh Small Finance Bank Limited IPO,"Jul 12, 2023","Jul 14, 2023",25,500,600,"BSE, NSE"
Senco Gold Limited IPO,"Jul 04, 2023","Jul 06, 2023",317,405,47,"BSE, NSE"
PKH Ventures Limited IPO,"Jun 30, 2023","Jul 04, 2023",140.00 to 148.00,379,100,"BSE, NSE"
Cyient DLM Limited IPO,"Jun 27, 2023","Jun 30, 2023",265,592,56,"BSE, NSE"
ideaForge Technology Limited IPO,"Jun 26, 2023","Jun 30, 2023",672,567.29,22,"BSE, NSE"
HMA Agro Industries Limited IPO,"Jun 20, 2023","Jun 23, 2023",585,480,25,"BSE, NSE"
IKIO Lighting Limited IPO,"Jun 06, 2023","Jun 08, 2023",285,606.5,52,"BSE, NSE"
Nexus Select Trust REIT,"May 09, 2023","May 11, 2023",100,3200,150,"BSE, NSE"
Mankind Pharma Limited IPO,"Apr 25, 2023","Apr 27, 2023",1080,4326.36,13,"BSE, NSE"
Avalon Technologies Limited IPO,"Apr 03, 2023","Apr 06, 2023",436,865,34,"BSE, NSE"
Udayshivakumar Infra Limited IPO,"Mar 20, 2023","Mar 23, 2023",35,66,428,"BSE, NSE"
Global Surfaces Limited IPO,"Mar 13, 2023","Mar 15, 2023",140,154.98,100,"BSE, NSE"
Divgi TorqTransfer Systems Limited IPO,"Mar 01, 2023","Mar 03, 2023",590,412.12,25,"BSE, NSE"
Adani Enterprises Limited FPO,"Jan 27, 2023","Jan 31, 2023",3112.00 to 3276.00,20000,4,"BSE, NSE"
